reference	metric_key	metric_label	model	paper_id	value
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	FCM_SIGMOD_CRV	1.075480
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Fair-Prompt-LLM	1.301805
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	FairSetCover	0.931124
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Fair_Epsilon_Net	0.843227
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Fairness-Expo-Rankings	1.050558
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Fast-Monte-Carlo	2.192456
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Gen-LLM	0.357241
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	HENN_ICLR_26-1	0.373000
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	INFINI-GRAM-MINI	0.677727
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Interactive-Learning	1.035402
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	LLM-Blender	0.280858
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	LSH-Curves	1.246105
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	MA-LLM-Debias	0.850143
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	MA-LLM-Judge	0.690034
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	MA-LLM-attack	0.318217
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Minoria	1.128366
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	MoA	0.580270
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Native-Sparse-Attention	3.622281
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	QR	0.858967
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	RRR	0.886873
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	RSR-Core	0.173938
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Random_access_Retrieval-5	0.721678
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Rankit-Askit	0.728295
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Reg-Min-Rep	0.483147
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	Trojan-LLM	3.025131
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	adv_res_paper	0.789675
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	auto-relate	0.584841
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	axolotl	0.475805
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	divergent-thinking	5.259591
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	eff-approx-query	0.511388
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	exp-ranking	0.585458
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	fairRQ	0.725360
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	local-stab-ranking	0.554304
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	mm-mlp	0.343839
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	multi-agent-collab	0.827290
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	query-refine	1.588387
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	ranked-ret	0.698652
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	reg-ratio	0.309675
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	requal	0.192478
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	shapley	0.435028
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	synthesize-score	2.489691
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	uncertainty-LLM	1.271195
Sonnet-4.6	kl_divergence	KL	qwen3:1.7b	unf-prms	0.477641
Sonnet-4.6	kl_divergence	KL	qwen3:4b	AFD	1.141821
Sonnet-4.6	kl_divergence	KL	qwen3:4b	AlgorithmicCollectiveAction	9.113428
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Corba-LLM	0.458500
Sonnet-4.6	kl_divergence	KL	qwen3:4b	DyLAN	0.628765
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Dynamic-role-MA-LLM	6.842046
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Dynamic_Necklace_Splitting	2.490395
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Efficient-MM-Algo	12.517064
Sonnet-4.6	kl_divergence	KL	qwen3:4b	FCM_SIGMOD_CRV	0.758010
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Fair-Prompt-LLM	1.588112
Sonnet-4.6	kl_divergence	KL	qwen3:4b	FairSetCover	0.714172
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Fair_Epsilon_Net	2.461185
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Fairness-Expo-Rankings	1.157230
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Fast-Monte-Carlo	1.526415
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Gen-LLM	0.407743
Sonnet-4.6	kl_divergence	KL	qwen3:4b	HENN_ICLR_26-1	1.889217
Sonnet-4.6	kl_divergence	KL	qwen3:4b	INFINI-GRAM-MINI	0.138636
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Interactive-Learning	0.846710
Sonnet-4.6	kl_divergence	KL	qwen3:4b	LLM-Blender	1.408153
Sonnet-4.6	kl_divergence	KL	qwen3:4b	LSH-Curves	1.511476
Sonnet-4.6	kl_divergence	KL	qwen3:4b	MA-LLM-Debias	0.476064
Sonnet-4.6	kl_divergence	KL	qwen3:4b	MA-LLM-Judge	1.323601
Sonnet-4.6	kl_divergence	KL	qwen3:4b	MA-LLM-attack	0.285005
Sonnet-4.6	kl_divergence	KL	qwen3:4b	Minoria	0.491943
